Geo Point;Geo Shape;ID;adresse;patrimoine
43.6057692572, 1.45302576473;"{""type"": ""LineString"", ""coordinates"": [[1.453032610040326, 43.60565861346409], [1.453018919418257, 43.605879900971296]]}";97;PLACE DAMLOUP;3 PLATANE
43.6066263729, 1.45228851106;"{""type"": ""LineString"", ""coordinates"": [[1.452288613707462, 43.60675126305112], [1.452288408420653, 43.60650148270353]]}";98;PLACE BACHELIER;6 MARRONNIER
43.6094733491, 1.44927434732;"{""type"": ""LineString"", ""coordinates"": [[1.449104914493436, 43.60948432234354], [1.449443780149624, 43.60946237590118]]}";102;PLACE SCHUMAN;3 PLATANE
43.6105286206, 1.42974841872;"{""type"": ""LineString"", ""coordinates"": [[1.428979172021509, 43.61180352588468], [1.430517665425697, 43.609253715384945]]}";103;RUE SEBASTOPOL;31 MICOCOULIER,7 PIN PARASOL,5 PLATANE
43.6201198727, 1.47437122226;"{""type"": ""LineString"", ""coordinates"": [[1.473671287208083, 43.62004655349995], [1.475071157317706, 43.6201931918333]]}";115;RUE DUBEZY;8 LAGERSTROEMIA
43.6209967277, 1.47510948528;"{""type"": ""LineString"", ""coordinates"": [[1.47359440520034, 43.62064179911836], [1.475118024539182, 43.6208693439164], [1.47534931887978, 43.62090516212537], [1.47549277067762, 43.6209819413636], [1.475585744577471, 43.62121823433934], [1.475713245151828, 43.621317602031475], [1.476562000041385, 43.62145650157168]]}";116;RUE AGUDES;30 LAGERSTROEMIA
43.6169741167, 1.47550065776;"{""type"": ""LineString"", ""coordinates"": [[1.473003142399951, 43.61662764844358], [1.47419179450773, 43.617279314864845], [1.474431029158089, 43.617305737159214], [1.475002266166919, 43.61715681134414], [1.475491826101158, 43.61710178308856], [1.476263231165278, 43.61685890608578], [1.476920394942292, 43.61680145519969], [1.477336081867953, 43.61669202130249], [1.477596379960134, 43.61679333764966], [1.478032433422199, 43.61705838178991]]}";117;CHEMIN CASSAING;37 MICOCOULIER,7 PLATANE
43.6012284155, 1.46057409854;"{""type"": ""LineString"", ""coordinates"": [[1.459128984058133, 43.601555361448355], [1.459827008485473, 43.60136491542734], [1.460618320137115, 43.601204525003], [1.462031089001437, 43.60095519087123]]}";130;AVENUE C. PUJOL;3 MAGNOLIA,21 POIRIER DE CHINE
43.5994396991, 1.46880794314;"{""type"": ""LineString"", ""coordinates"": [[1.46870445602609, 43.59977285597452], [1.468911430251841, 43.59910654215127]]}";138;AVENUE DES TILLEULS;7 MARRONNIER
43.5984339184, 1.44701946123;"{""type"": ""LineString"", ""coordinates"": [[1.446974296030726, 43.598420374233605], [1.447064626419297, 43.59844746251153]]}";152;RUE MAGE;3 CHARME PYRAMIDAL
